event,Hora normalizada,key,user,session_id
keydown,48698903,71,User1,366842028
keydown,48699324,23,User1,366842028
keyup,48699501,71,User1,366842028
keyup,48699512,11,User1,366842028
keydown,48699622,101,User1,366842028
keyup,48699765,101,User1,366842028
keydown,48699767,90,User1,366842028
keydown,48699923,91,User1,366842028
keyup,48699973,90,User1,366842028
keyup,48700034,91,User1,366842028
keydown,48700047,102,User1,366842028
keyup,48700160,102,User1,366842028
keydown,48700659,47,User1,366842028
keyup,48700772,47,User1,366842028
keydown,48701040,47,User1,366842028
keyup,48701132,47,User1,366842028
keydown,48719409,83,User1,366842028
keyup,48719501,83,User1,366842028
keydown,48719523,0,User1,366842028
keyup,48719642,0,User1,366842028
keydown,48719663,102,User1,366842028
keyup,48719781,102,User1,366842028
keydown,48719783,97,User1,366842028
keydown,48719871,98,User1,366842028
keyup,48719918,97,User1,366842028
keyup,48719991,98,User1,366842028
keydown,48719992,87,User1,366842028
keyup,48720039,87,User1,366842028
keydown,48720125,87,User1,366842028
keyup,48720193,87,User1,366842028
keydown,48720258,87,User1,366842028
keyup,48720325,87,User1,366842028
keydown,48720384,0,User1,366842028
keyup,48720475,0,User1,366842028
keydown,48720476,86,User1,366842028
keydown,48720518,87,User1,366842028
keyup,48720563,86,User1,366842028
keydown,48720585,0,User1,366842028
keyup,48720608,87,User1,366842028
keyup,48720677,0,User1,366842028
keydown,48721073,100,User1,366842028
keyup,48721165,100,User1,366842028
keydown,48721198,103,User1,366842028
keyup,48721288,103,User1,366842028
keydown,48721376,96,User1,366842028
keyup,48721442,96,User1,366842028
keydown,48721508,96,User1,366842028
keyup,48721598,96,User1,366842028
keydown,48721620,91,User1,366842028
keyup,48721710,91,User1,366842028
keydown,48721731,96,User1,366842028
keyup,48721825,96,User1,366842028
keydown,48721826,89,User1,366842028
keyup,48721868,89,User1,366842028
keydown,48721907,47,User1,366842028
keyup,48721978,47,User1,366842028
keydown,48765033,18,User1,366842028
keyup,48765102,18,User1,366842028
keydown,48765345,71,User1,366842028
keydown,48765507,57,User1,366842028
keyup,48765599,57,User1,366842028
keyup,48765644,71,User1,366842028
keydown,48765689,95,User1,366842028
keyup,48765801,95,User1,366842028
keydown,48766165,11,User1,366842028
keyup,48766236,11,User1,366842028
keydown,48766310,11,User1,366842028
keyup,48766380,11,User1,366842028
keydown,48766445,11,User1,366842028
keyup,48766514,11,User1,366842028
keydown,48766572,11,User1,366842028
keyup,48766664,11,User1,366842028
keydown,48766798,0,User1,366842028
keyup,48766868,0,User1,366842028
keydown,48768850,14,User1,366842028
keyup,48768964,14,User1,366842028
keydown,48769003,18,User1,366842028
keyup,48769095,18,User1,366842028
keydown,48769347,95,User1,366842028
keydown,48769459,91,User1,366842028
keyup,48769507,95,User1,366842028
keyup,48769552,91,User1,366842028
keydown,48769572,96,User1,366842028
keyup,48769663,96,User1,366842028
keydown,48769763,0,User1,366842028
keyup,48769875,0,User1,366842028
keydown,48769919,85,User1,366842028
keyup,48770030,85,User1,366842028
keydown,48770131,87,User1,366842028
keyup,48770199,87,User1,366842028
keydown,48770222,0,User1,366842028
keyup,48770340,0,User1,366842028
keydown,48770362,86,User1,366842028
keyup,48770476,86,User1,366842028
keydown,48770477,83,User1,366842028
keyup,48770565,83,User1,366842028
keydown,48770638,100,User1,366842028
keyup,48770707,100,User1,366842028
keydown,48770841,38,User1,366842028
keyup,48770933,38,User1,366842028
keydown,48770995,38,User1,366842028
keyup,48771040,38,User1,366842028
keydown,48771129,38,User1,366842028
keyup,48771174,38,User1,366842028
keydown,48771196,38,User1,366842028
keyup,48771262,38,User1,366842028
keydown,48771335,38,User1,366842028
keyup,48771406,38,User1,366842028
keydown,48771726,38,User1,366842028
keyup,48771816,38,User1,366842028
keydown,48771889,86,User1,366842028
keydown,48771954,87,User1,366842028
keyup,48772000,86,User1,366842028
keyup,48772021,87,User1,366842028
keydown,48772044,0,User1,366842028
keyup,48772115,0,User1,366842028
keydown,48772137,85,User1,366842028
keyup,48772229,85,User1,366842028
keydown,48772230,83,User1,366842028
keyup,48772360,83,User1,366842028
keydown,48772390,100,User1,366842028
keyup,48772457,100,User1,366842028
keydown,48772519,100,User1,366842028
keydown,48772611,87,User1,366842028
keyup,48772635,100,User1,366842028
keyup,48772702,87,User1,366842028
keydown,48772723,100,User1,366842028
keydown,48772791,83,User1,366842028
keyup,48772816,100,User1,366842028
keyup,48772906,83,User1,366842028
keydown,48773693,0,User1,366842028
keyup,48773763,0,User1,366842028
keydown,48774193,38,User1,366842028
keyup,48774284,38,User1,366842028
keydown,48774598,47,User1,366842028
keyup,48774689,47,User1,366842028
keydown,48776700,84,User1,366842028
keyup,48776793,84,User1,366842028
keydown,48776822,103,User1,366842028
keyup,48776911,103,User1,366842028
keydown,48776940,83,User1,366842028
keydown,48777009,92,User1,366842028
keyup,48777033,83,User1,366842028
keyup,48777080,92,User1,366842028
keydown,48777111,83,User1,366842028
keydown,48777157,92,User1,366842028
keyup,48777182,83,User1,366842028
keyup,48777251,92,User1,366842028
keydown,48777273,83,User1,366842028
keydown,48777296,92,User1,366842028
keyup,48777320,83,User1,366842028
keyup,48777389,92,User1,366842028
keydown,48777390,83,User1,366842028
keyup,48777456,83,User1,366842028
keydown,48777486,47,User1,366842028
keyup,48777535,47,User1,366842028
keydown,48800211,83,User1,366842028
keyup,48800258,83,User1,366842028
keydown,48800599,98,User1,366842028
keydown,48800713,97,User1,366842028
keyup,48800762,98,User1,366842028
keyup,48800831,97,User1,366842028
keydown,48801139,101,User1,366842028
keyup,48801235,101,User1,366842028
keydown,48801329,102,User1,366842028
keydown,48801376,87,User1,366842028
keyup,48801424,102,User1,366842028
keyup,48801491,87,User1,366842028
keydown,48801513,95,User1,366842028
keydown,48801629,97,User1,366842028
