event,Hora normalizada,key,user,session_id
keydown,53808464,83,User1,366843799
keyup,53808555,83,User1,366843799
keydown,53808557,0,User1,366843799
keyup,53808646,0,User1,366843799
keydown,53808647,104,User1,366843799
keyup,53808765,104,User1,366843799
keydown,53808770,87,User1,366843799
keydown,53808843,100,User1,366843799
keyup,53808890,87,User1,366843799
keyup,53808913,100,User1,366843799
keydown,53809332,11,User1,366843799
keyup,53809379,11,User1,366843799
keydown,53809481,11,User1,366843799
keyup,53809549,11,User1,366843799
keydown,53809625,11,User1,366843799
keyup,53809696,11,User1,366843799
keydown,53809758,11,User1,366843799
keyup,53809828,11,User1,366843799
keydown,53809964,0,User1,366843799
keyup,53810055,0,User1,366843799
keydown,53810258,87,User1,366843799
keydown,53810349,101,User1,366843799
keyup,53810394,87,User1,366843799
keyup,53810444,101,User1,366843799
keydown,53810508,97,User1,366843799
keyup,53810620,97,User1,366843799
keydown,53810622,0,User1,366843799
keyup,53810711,0,User1,366843799
keydown,53810713,87,User1,366843799
keydown,53810779,101,User1,366843799
keyup,53810848,87,User1,366843799
keyup,53810870,101,User1,366843799
keydown,53810902,98,User1,366843799
keydown,53810971,87,User1,366843799
keyup,53810996,98,User1,366843799
keydown,53811018,100,User1,366843799
keyup,53811065,87,User1,366843799
keydown,53811110,97,User1,366843799
keyup,53811133,100,User1,366843799
keydown,53811179,0,User1,366843799
keyup,53811204,97,User1,366843799
keyup,53811293,0,User1,366843799
keydown,53811314,92,User1,366843799
keyup,53811384,92,User1,366843799
keydown,53811385,83,User1,366843799
keyup,53811453,83,User1,366843799
keydown,53811473,92,User1,366843799
keyup,53811541,92,User1,366843799
keydown,53811542,83,User1,366843799
keyup,53811607,83,User1,366843799
keydown,53811629,92,User1,366843799
keyup,53811699,92,User1,366843799
keydown,53811700,83,User1,366843799
keydown,53811765,92,User1,366843799
keyup,53811789,83,User1,366843799
keyup,53811856,92,User1,366843799
keydown,53811878,83,User1,366843799
keyup,53811947,83,User1,366843799
keydown,53812001,71,User1,366843799
keydown,53812090,1,User1,366843799
keyup,53812159,71,User1,366843799
keyup,53812181,14,User1,366843799
keydown,53812203,0,User1,366843799
keyup,53812272,0,User1,366843799
keydown,53812317,87,User1,366843799
keydown,53812386,101,User1,366843799
keyup,53812411,87,User1,366843799
keyup,53812502,101,User1,366843799
keydown,53812532,102,User1,366843799
keyup,53812622,102,User1,366843799
keydown,53812664,0,User1,366843799
keyup,53812753,0,User1,366843799
keydown,53812891,38,User1,366843799
keyup,53812983,38,User1,366843799
keydown,53813266,38,User1,366843799
keyup,53813356,38,User1,366843799
keydown,53813787,102,User1,366843799
keydown,53813874,83,User1,366843799
keyup,53813921,102,User1,366843799
keyup,53813988,83,User1,366843799
keydown,53814011,0,User1,366843799
keyup,53814058,0,User1,366843799
keydown,53814159,95,User1,366843799
keydown,53814227,83,User1,366843799
keyup,53814252,95,User1,366843799
keyup,53814297,83,User1,366843799
keydown,53814329,121,User1,366843799
keydown,53814419,83,User1,366843799
keyup,53814419,121,User1,366843799
keyup,53814486,83,User1,366843799
keydown,53814510,96,User1,366843799
keydown,53814579,83,User1,366843799
keyup,53814602,96,User1,366843799
keydown,53814647,0,User1,366843799
keyup,53814670,83,User1,366843799
keyup,53814741,0,User1,366843799
keydown,53814813,90,User1,366843799
keyup,53814882,90,User1,366843799
keydown,53814883,83,User1,366843799
keyup,53814950,83,User1,366843799
keydown,53814987,0,User1,366843799
keyup,53815056,0,User1,366843799
keydown,53815057,83,User1,366843799
keyup,53815145,83,User1,366843799
keydown,53815221,104,User1,366843799
keyup,53815313,104,User1,366843799
keydown,53815336,91,User1,366843799
keyup,53815429,91,User1,366843799
keydown,53815452,86,User1,366843799
keyup,53815542,86,User1,366843799
keydown,53815543,97,User1,366843799
keydown,53815652,0,User1,366843799
keyup,53815677,97,User1,366843799
keyup,53815699,0,User1,366843799
keydown,53815734,83,User1,366843799
keyup,53815827,83,User1,366843799
keydown,53815849,94,User1,366843799
keyup,53815920,94,User1,366843799
keydown,53815957,89,User1,366843799
keydown,53816022,103,User1,366843799
keyup,53816045,89,User1,366843799
keyup,53816092,103,User1,366843799
keydown,53816166,96,User1,366843799
keyup,53816282,96,User1,366843799
keydown,53816284,0,User1,366843799
keyup,53816372,0,User1,366843799
keydown,53816582,98,User1,366843799
keyup,53816653,98,User1,366843799
keydown,53816654,100,User1,366843799
keyup,53816723,100,User1,366843799
keydown,53816753,97,User1,366843799
keyup,53816843,97,User1,366843799
keydown,53816844,84,User1,366843799
keyup,53816933,84,User1,366843799
keydown,53817008,94,User1,366843799
keydown,53817075,87,User1,366843799
keyup,53817101,94,User1,366843799
keyup,53817146,87,User1,366843799
keydown,53817197,95,User1,366843799
keyup,53817306,95,User1,366843799
keydown,53817327,91,User1,366843799
keyup,53817375,91,User1,366843799
keydown,53817461,83,User1,366843799
keyup,53817506,83,User1,366843799
