event,Hora normalizada,key,user,session_id
keydown,53967784,97,User1,366847028
keyup,53967875,97,User1,366847028
keydown,53967955,94,User1,366847028
keydown,53968026,87,User1,366847028
keyup,53968050,94,User1,366847028
keyup,53968096,87,User1,366847028
keydown,53968180,87,User1,366847028
keyup,53968250,87,User1,366847028
keydown,53968320,87,User1,366847028
keyup,53968408,87,User1,366847028
keydown,53968474,87,User1,366847028
keyup,53968567,87,User1,366847028
keydown,53968621,0,User1,366847028
keyup,53968713,0,User1,366847028
keydown,53968752,89,User1,366847028
keydown,53968820,87,User1,366847028
keyup,53968864,89,User1,366847028
keydown,53968886,96,User1,366847028
keyup,53968934,87,User1,366847028
keydown,53968935,91,User1,366847028
keyup,53969003,96,User1,366847028
keyup,53969048,91,User1,366847028
keydown,53969069,83,User1,366847028
keyup,53969118,83,User1,366847028
keydown,53969225,83,User1,366847028
keyup,53969313,83,User1,366847028
keydown,53969341,94,User1,366847028
keyup,53969458,94,User1,366847028
keydown,53969459,0,User1,366847028
keyup,53969547,0,User1,366847028
keydown,53969569,102,User1,366847028
keyup,53969663,102,User1,366847028
keydown,53969664,91,User1,366847028
keydown,53969753,97,User1,366847028
keyup,53969799,91,User1,366847028
keyup,53969843,97,User1,366847028
keydown,53969865,97,User1,366847028
keyup,53969955,97,User1,366847028
keydown,53970073,71,User1,366847028
keydown,53970142,1,User1,366847028
keyup,53970188,1,User1,366847028
keydown,53970299,1,User1,366847028
keyup,53970348,1,User1,366847028
keyup,53970413,71,User1,366847028
keydown,53970415,0,User1,366847028
keyup,53970481,0,User1,366847028
keydown,53970542,83,User1,366847028
keyup,53970659,83,User1,366847028
keydown,53970698,0,User1,366847028
keyup,53970788,0,User1,366847028
keydown,53970832,98,User1,366847028
keydown,53970924,97,User1,366847028
keyup,53970949,98,User1,366847028
keyup,53970994,97,User1,366847028
keydown,53970995,100,User1,366847028
keyup,53971061,100,User1,366847028
keydown,53971114,0,User1,366847028
keyup,53971225,0,User1,366847028
keydown,53971247,87,User1,366847028
keyup,53971340,87,User1,366847028
keydown,53971363,94,User1,366847028
keyup,53971454,94,User1,366847028
keydown,53971499,94,User1,366847028
keyup,53971569,94,User1,366847028
keydown,53971636,97,User1,366847028
keyup,53971729,97,User1,366847028
keydown,53971825,0,User1,366847028
keyup,53971916,0,User1,366847028
keydown,53973047,47,User1,366847028
keyup,53973135,47,User1,366847028
keydown,53978664,85,User1,366847028
keyup,53978758,85,User1,366847028
keydown,53978780,103,User1,366847028
keyup,53978874,103,User1,366847028
keydown,53978875,83,User1,366847028
keydown,53978964,96,User1,366847028
keyup,53978989,83,User1,366847028
keydown,53979009,86,User1,366847028
keyup,53979057,96,User1,366847028
keyup,53979101,86,User1,366847028
keydown,53979103,97,User1,366847028
keyup,53979216,97,User1,366847028
keydown,53979217,0,User1,366847028
keyup,53979308,0,User1,366847028
keydown,53979476,102,User1,366847028
keydown,53979542,87,User1,366847028
keyup,53979589,102,User1,366847028
keyup,53979655,87,User1,366847028
keydown,53979656,0,User1,366847028
keyup,53979744,0,User1,366847028
keydown,53980533,104,User1,366847028
keyup,53980624,104,User1,366847028
keydown,53980646,91,User1,366847028
keyup,53980737,91,User1,366847028
keydown,53980760,87,User1,366847028
keyup,53980807,87,User1,366847028
keydown,53980851,96,User1,366847028
keydown,53980919,87,User1,366847028
keyup,53980944,96,User1,366847028
keyup,53980986,87,User1,366847028
keydown,53981074,101,User1,366847028
keyup,53981166,101,User1,366847028
keydown,53981167,0,User1,366847028
keyup,53981255,0,User1,366847028
keydown,53981912,38,User1,366847028
keydown,53982413,38,User1,366847028
keydown,53982463,38,User1,366847028
keydown,53982513,38,User1,366847028
keydown,53982564,38,User1,366847028
keyup,53982588,38,User1,366847028
keydown,53982674,38,User1,366847028
keyup,53982765,38,User1,366847028
keydown,53983053,83,User1,366847028
keydown,53983120,101,User1,366847028
keyup,53983187,83,User1,366847028
keydown,53983210,71,User1,366847028
keyup,53983256,70,User1,366847028
keydown,53983303,28,User1,366847028
keyup,53983416,71,User1,366847028
keyup,53983418,4,User1,366847028
keydown,53983484,47,User1,366847028
keyup,53983575,47,User1,366847028
keydown,54075743,0,User1,366847028
keyup,54075886,0,User1,366847028
keydown,54076232,38,User1,366847028
keyup,54076347,38,User1,366847028
keydown,54076414,107,User1,366847028
keyup,54076529,107,User1,366847028
keydown,54076925,38,User1,366847028
keyup,54076995,38,User1,366847028
keydown,54077070,38,User1,366847028
keyup,54077160,38,User1,366847028
keydown,54077192,85,User1,366847028
keydown,54077260,103,User1,366847028
keyup,54077308,85,User1,366847028
keyup,54077332,103,User1,366847028
keydown,54077333,83,User1,366847028
keyup,54077445,83,User1,366847028
keydown,54077446,96,User1,366847028
keydown,54077467,102,User1,366847028
keyup,54077511,96,User1,366847028
keyup,54077557,102,User1,366847028
keydown,54077592,97,User1,366847028
keydown,54077659,101,User1,366847028
keyup,54077685,97,User1,366847028
keyup,54077708,101,User1,366847028
keydown,54077730,0,User1,366847028
keyup,54077841,0,User1,366847028
keydown,54077842,86,User1,366847028
keydown,54077909,91,User1,366847028
keyup,54077932,86,User1,366847028
keydown,54077954,83,User1,366847028
keyup,54077977,91,User1,366847028
keydown,54078022,101,User1,366847028
keyup,54078090,83,User1,366847028
keydown,54078112,0,User1,366847028
keyup,54078137,101,User1,366847028
keyup,54078203,0,User1,366847028
keydown,54078225,86,User1,366847028
keydown,54078270,87,User1,366847028
keyup,54078295,86,User1,366847028
keydown,54078315,0,User1,366847028
keyup,54078340,87,User1,366847028
keyup,54078408,0,User1,366847028
keydown,54078429,85,User1,366847028
keydown,54078497,97,User1,366847028
keyup,54078521,85,User1,366847028
keyup,54078568,97,User1,366847028
keydown,54078621,96,User1,366847028
keydown,54078687,89,User1,366847028
keyup,54078712,96,User1,366847028
keyup,54078735,89,User1,366847028
keydown,54078813,100,User1,366847028
keydown,54078857,87,User1,366847028
keyup,54078881,100,User1,366847028
keyup,54078924,87,User1,366847028
keydown,54078999,101,User1,366847028
keyup,54079068,101,User1,366847028
keydown,54079069,97,User1,366847028
keyup,54079139,97,User1,366847028
keydown,54079326,0,User1,366847028
keyup,54079417,0,User1,366847028
keydown,54079646,87,User1,366847028
keydown,54079737,101,User1,366847028
keyup,54079762,87,User1,366847028
keyup,54079830,101,User1,366847028
keydown,54079945,71,User1,366847028
keydown,54080055,28,User1,366847028
keyup,54080124,71,User1,366847028
keyup,54080147,4,User1,366847028
keydown,54080268,47,User1,366847028
keyup,54080361,47,User1,366847028
keydown,54109018,97,User1,366847028
keyup,54109154,97,User1,366847028
keydown,54109242,94,User1,366847028
keyup,54109375,94,User1,366847028
keydown,54109397,87,User1,366847028
keyup,54109442,87,User1,366847028
keydown,54109559,87,User1,366847028
keyup,54109604,87,User1,366847028
keydown,54110313,87,User1,366847028
keyup,54110380,87,User1,366847028
keydown,54110488,87,User1,366847028
keyup,54110533,87,User1,366847028
keydown,54110616,87,User1,366847028
keyup,54110707,87,User1,366847028
keydown,54110743,71,User1,366847028
keydown,54110857,1,User1,366847028
keyup,54110948,1,User1,366847028
keyup,54111040,71,User1,366847028
keydown,54111104,0,User1,366847028
keyup,54111197,0,User1,366847028
keydown,54112166,99,User1,366847028
keyup,54112257,99,User1,366847028
keydown,54112333,103,User1,366847028
keyup,54112447,103,User1,366847028
keydown,54113127,87,User1,366847028
keyup,54113199,87,User1,366847028
keydown,54113272,0,User1,366847028
keyup,54113388,0,User1,366847028
keydown,54113550,104,User1,366847028
keyup,54113640,104,User1,366847028
keydown,54113682,91,User1,366847028
keyup,54113774,91,User1,366847028
keydown,54113833,87,User1,366847028
keyup,54113881,87,User1,366847028
keydown,54114058,38,User1,366847028
keyup,54114127,38,User1,366847028
keydown,54114194,38,User1,366847028
keyup,54114284,38,User1,366847028
keydown,54114547,38,User1,366847028
keyup,54114637,38,User1,366847028
keydown,54114638,84,User1,366847028
keyup,54114703,84,User1,366847028
keydown,54114847,87,User1,366847028
keyup,54114916,87,User1,366847028
keydown,54115128,38,User1,366847028
keyup,54115217,38,User1,366847028
keydown,54115291,91,User1,366847028
keyup,54115383,91,User1,366847028
keydown,54115418,87,User1,366847028
keyup,54115488,87,User1,366847028
keydown,54115509,96,User1,366847028
keyup,54115602,96,User1,366847028
keydown,54115624,0,User1,366847028
keyup,54115759,0,User1,366847028
keydown,54116077,104,User1,366847028
keyup,54116168,104,User1,366847028
keydown,54116190,91,User1,366847028
keyup,54116259,91,User1,366847028
keydown,54116260,104,User1,366847028
keyup,54116305,104,User1,366847028
keydown,54116366,87,User1,366847028
keyup,54116455,87,User1,366847028
keydown,54116560,101,User1,366847028
keyup,54116627,101,User1,366847028
keydown,54116671,0,User1,366847028
keyup,54116741,0,User1,366847028
keydown,54116841,92,User1,366847028
keyup,54116933,92,User1,366847028
keydown,54116988,87,User1,366847028
keyup,54117011,87,User1,366847028
keydown,54117034,92,User1,366847028
keyup,54117102,92,User1,366847028
keydown,54117162,87,User1,366847028
keyup,54117209,87,User1,366847028
keydown,54117239,92,User1,366847028
keyup,54117288,92,User1,366847028
keydown,54117324,87,User1,366847028
keydown,54117392,92,User1,366847028
keyup,54117392,87,User1,366847028
keyup,54117461,92,User1,366847028
keydown,54117515,87,User1,366847028
keyup,54117584,87,User1,366847028
keydown,54118201,71,User1,366847028
keydown,54118293,1,User1,366847028
keyup,54118387,1,User1,366847028
keyup,54118409,71,User1,366847028
keydown,54118430,0,User1,366847028
keyup,54118499,0,User1,366847028
keydown,54118610,96,User1,366847028
keyup,54118679,96,User1,366847028
keydown,54118735,97,User1,366847028
keyup,54118847,97,User1,366847028
keydown,54118869,0,User1,366847028
keyup,54118936,0,User1,366847028
keydown,54119012,83,User1,366847028
keyup,54119105,83,User1,366847028
keydown,54119128,85,User1,366847028
keyup,54119197,85,User1,366847028
keydown,54119198,87,User1,366847028
keydown,54119241,98,User1,366847028
keyup,54119290,87,User1,366847028
keyup,54119314,98,User1,366847028
keydown,54119354,102,User1,366847028
keydown,54119445,83,User1,366847028
keyup,54119470,102,User1,366847028
keydown,54119515,96,User1,366847028
keyup,54119540,83,User1,366847028
keydown,54119605,0,User1,366847028
keyup,54119629,96,User1,366847028
keydown,54119697,83,User1,366847028
keyup,54119720,0,User1,366847028
keyup,54119809,83,User1,366847028
keydown,54119810,85,User1,366847028
keydown,54119874,97,User1,366847028
keyup,54119897,85,User1,366847028
keydown,54119943,95,User1,366847028
keyup,54119968,97,User1,366847028
keyup,54120055,95,User1,366847028
keydown,54120103,98,User1,366847028
keyup,54120195,98,User1,366847028
keydown,54120230,83,User1,366847028
keyup,54120302,83,User1,366847028
keydown,54120303,121,User1,366847028
keyup,54120388,121,User1,366847028
keydown,54120422,83,User1,366847028
keydown,54120533,96,User1,366847028
keyup,54120559,83,User1,366847028
keyup,54120626,96,User1,366847028
keydown,54120657,102,User1,366847028
keydown,54120723,87,User1,366847028
keyup,54120746,102,User1,366847028
keyup,54120791,87,User1,366847028
keydown,54120895,101,User1,366847028
keyup,54120986,101,User1,366847028
keydown,54121041,71,User1,366847028
keydown,54121290,28,User1,366847028
keyup,54121336,28,User1,366847028
keydown,54121449,0,User1,366847028
keyup,54121564,0,User1,366847028
keydown,54121586,78,User1,366847028
keyup,54121678,78,User1,366847028
keydown,54121746,6,User1,366847028
keyup,54121816,6,User1,366847028
keyup,54121882,71,User1,366847028
keydown,54121961,47,User1,366847028
keyup,54122028,47,User1,366847028
