event,Hora normalizada,key,user,session_id
keydown,31285620,71,User1,366911682
keydown,31285809,53,User1,366911682
keyup,31285905,53,User1,366911682
keyup,31285907,71,User1,366911682
keydown,31285985,97,User1,366911682
keyup,31286056,97,User1,366911682
keydown,31286185,94,User1,366911682
keyup,31286257,94,User1,366911682
keydown,31286333,83,User1,366911682
keyup,31286388,83,User1,366911682
keydown,31286508,83,User1,366911682
keyup,31286560,83,User1,366911682
keydown,31286673,83,User1,366911682
keyup,31286715,83,User1,366911682
keydown,31286818,83,User1,366911682
keyup,31286865,83,User1,366911682
keydown,31286958,83,User1,366911682
keyup,31287027,83,User1,366911682
keydown,31287147,71,User1,366911682
keydown,31287387,1,User1,366911682
keyup,31287439,1,User1,366911682
keyup,31287494,71,User1,366911682
keydown,31287894,0,User1,366911682
keyup,31287981,0,User1,366911682
keydown,31288201,71,User1,366911682
keydown,31288335,70,User1,366911682
keyup,31288399,70,User1,366911682
keyup,31288404,71,User1,366911682
keydown,31288541,97,User1,366911682
keyup,31288623,97,User1,366911682
keydown,31288776,107,User1,366911682
keyup,31288834,107,User1,366911682
keydown,31290453,0,User1,366911682
keyup,31290543,0,User1,366911682
keydown,31291505,71,User1,366911682
keydown,31291637,39,User1,366911682
keyup,31291690,39,User1,366911682
keyup,31291715,71,User1,366911682
keydown,31291853,83,User1,366911682
keyup,31291916,83,User1,366911682
keydown,31291989,100,User1,366911682
keyup,31292052,100,User1,366911682
keydown,31292124,95,User1,366911682
keyup,31292198,95,User1,366911682
keydown,31292224,87,User1,366911682
keyup,31292270,87,User1,366911682
keydown,31292340,96,User1,366911682
keyup,31292433,96,User1,366911682
keydown,31292499,0,User1,366911682
keyup,31292574,0,User1,366911682
keydown,31292629,87,User1,366911682
keyup,31292697,87,User1,366911682
keydown,31292751,96,User1,366911682
keyup,31292848,96,User1,366911682
keydown,31292862,0,User1,366911682
keyup,31292965,0,User1,366911682
keydown,31293003,94,User1,366911682
keyup,31293081,94,User1,366911682
keydown,31293129,83,User1,366911682
keyup,31293206,83,User1,366911682
keydown,31293321,0,User1,366911682
keyup,31293404,0,User1,366911682
keydown,31293548,71,User1,366911682
keydown,31293617,39,User1,366911682
keyup,31293670,39,User1,366911682
keyup,31293673,71,User1,366911682
