event,Hora normalizada,key,user,session_id
keydown,38500704,101,User1,366920096
keyup,38500838,101,User1,366920096
keydown,38500839,97,User1,366920096
keydown,38500946,107,User1,366920096
keyup,38501011,97,User1,366920096
keyup,38501054,107,User1,366920096
keydown,38501157,0,User1,366920096
keyup,38501265,0,User1,366920096
keydown,38501297,83,User1,366920096
keydown,38501424,94,User1,366920096
keyup,38501452,83,User1,366920096
keyup,38501535,94,User1,366920096
keydown,38501556,87,User1,366920096
keyup,38501670,87,User1,366920096
keydown,38501852,0,User1,366920096
keyup,38501937,0,User1,366920096
keydown,38502208,38,User1,366920096
keyup,38502297,38,User1,366920096
keydown,38502329,106,User1,366920096
keyup,38502466,106,User1,366920096
keydown,38502826,38,User1,366920096
keyup,38502890,38,User1,366920096
keydown,38502971,38,User1,366920096
keyup,38503057,38,User1,366920096
keydown,38503114,38,User1,366920096
keyup,38503223,38,User1,366920096
keydown,38503515,38,User1,366920096
keyup,38503561,38,User1,366920096
keydown,38503716,95,User1,366920096
keyup,38503825,95,User1,366920096
keydown,38503919,83,User1,366920096
keyup,38504004,83,User1,366920096
keydown,38504194,100,User1,366920096
keydown,38504280,91,User1,366920096
keyup,38504325,100,User1,366920096
keyup,38504368,91,User1,366920096
keydown,38504418,96,User1,366920096
keyup,38504512,96,User1,366920096
keydown,38504533,83,User1,366920096
keydown,38504619,0,User1,366920096
keyup,38504641,83,User1,366920096
keyup,38504727,0,User1,366920096
keydown,38504842,107,User1,366920096
keyup,38504911,107,User1,366920096
keydown,38505026,0,User1,366920096
keyup,38505113,0,User1,366920096
keydown,38505909,38,User1,366920096
keyup,38505995,38,User1,366920096
keydown,38506049,38,User1,366920096
keyup,38506155,38,User1,366920096
keydown,38506275,85,User1,366920096
keyup,38506423,85,User1,366920096
keydown,38506424,97,User1,366920096
keydown,38506512,96,User1,366920096
keyup,38506534,97,User1,366920096
keyup,38506578,96,User1,366920096
keydown,38506661,0,User1,366920096
keyup,38506727,0,User1,366920096
keydown,38506815,95,User1,366920096
keyup,38506901,95,User1,366920096
keydown,38506990,91,User1,366920096
keyup,38507077,91,User1,366920096
keydown,38507190,0,User1,366920096
keyup,38507276,0,User1,366920096
keydown,38507374,97,User1,366920096
keydown,38507442,100,User1,366920096
keyup,38507508,97,User1,366920096
keyup,38507528,100,User1,366920096
keydown,38507596,86,User1,366920096
keydown,38507663,87,User1,366920096
keyup,38507753,86,User1,366920096
keyup,38507796,87,User1,366920096
keydown,38507818,96,User1,366920096
keyup,38507907,96,User1,366920096
keydown,38507908,83,User1,366920096
keyup,38508037,83,User1,366920096
keydown,38508092,86,User1,366920096
keydown,38508202,97,User1,366920096
keyup,38508226,86,User1,366920096
keyup,38508290,97,User1,366920096
keydown,38508356,100,User1,366920096
keydown,38508465,0,User1,366920096
keyup,38508512,100,User1,366920096
keyup,38508558,0,User1,366920096
keydown,38508710,107,User1,366920096
keyup,38508797,107,User1,366920096
keydown,38508911,0,User1,366920096
keyup,38509000,0,User1,366920096
keydown,38509019,87,User1,366920096
keydown,38509106,96,User1,366920096
keyup,38509128,87,User1,366920096
keyup,38509193,96,User1,366920096
keydown,38509356,102,User1,366920096
keydown,38509441,100,User1,366920096
keyup,38509486,102,User1,366920096
keyup,38509553,100,User1,366920096
keydown,38509554,97,User1,366920096
keyup,38509618,97,User1,366920096
keydown,38509699,0,User1,366920096
keyup,38509787,0,User1,366920096
keydown,38509807,85,User1,366920096
keydown,38509915,97,User1,366920096
keyup,38509937,85,User1,366920096
keyup,38510046,97,User1,366920096
keydown,38510119,95,User1,366920096
keydown,38510204,97,User1,366920096
keyup,38510250,95,User1,366920096
keyup,38510315,97,User1,366920096
keydown,38510386,0,User1,366920096
keyup,38510474,0,User1,366920096
keydown,38510591,71,User1,366920096
keydown,38510675,30,User1,366920096
keyup,38510787,30,User1,366920096
keydown,38510916,58,User1,366920096
keyup,38510982,58,User1,366920096
keyup,38511238,71,User1,366920096
keydown,38511330,87,User1,366920096
keyup,38511485,87,User1,366920096
keydown,38511572,38,User1,366920096
keyup,38511637,38,User1,366920096
keydown,38511726,38,User1,366920096
keyup,38511767,38,User1,366920096
keydown,38511810,87,User1,366920096
keyup,38511877,87,User1,366920096
keydown,38512204,38,User1,366920096
keyup,38512273,38,User1,366920096
keydown,38512392,94,User1,366920096
keyup,38512480,94,User1,366920096
keydown,38512481,87,User1,366920096
keyup,38512569,87,User1,366920096
keydown,38512883,106,User1,366920096
keyup,38512969,106,User1,366920096
keydown,38513039,47,User1,366920096
keyup,38513104,47,User1,366920096
keydown,38515794,85,User1,366920096
keyup,38515923,85,User1,366920096
keydown,38515924,90,User1,366920096
keydown,38516012,91,User1,366920096
keyup,38516055,90,User1,366920096
keyup,38516121,91,User1,366920096
keydown,38516149,85,User1,366920096
keyup,38516258,85,User1,366920096
keydown,38516259,97,User1,366920096
keyup,38516322,97,User1,366920096
keydown,38516372,101,User1,366920096
keydown,38516462,0,User1,366920096
keyup,38516526,101,User1,366920096
keyup,38516569,0,User1,366920096
keydown,38516822,95,User1,366920096
keyup,38516909,95,User1,366920096
keydown,38517003,103,User1,366920096
keyup,38517069,103,User1,366920096
keydown,38517157,85,User1,366920096
keydown,38517226,90,User1,366920096
keyup,38517294,85,User1,366920096
keyup,38517295,90,User1,366920096
keydown,38517380,83,User1,366920096
keydown,38517447,101,User1,366920096
keyup,38517534,83,User1,366920096
keydown,38517535,0,User1,366920096
keyup,38517630,0,User1,366920096
keyup,38517632,101,User1,366920096
keydown,38517729,90,User1,366920096
keyup,38517771,90,User1,366920096
keydown,38518157,89,User1,366920096
keyup,38518266,89,User1,366920096
keydown,38518333,100,User1,366920096
keyup,38518421,100,User1,366920096
keydown,38518605,38,User1,366920096
keyup,38518672,38,User1,366920096
keydown,38518894,38,User1,366920096
keyup,38518962,38,User1,366920096
keydown,38519041,38,User1,366920096
keyup,38519126,38,User1,366920096
keydown,38519476,89,User1,366920096
keyup,38519498,89,User1,366920096
keydown,38519836,100,User1,366920096
keyup,38519923,100,User1,366920096
keydown,38520283,83,User1,366920096
keyup,38520409,83,User1,366920096
keydown,38520561,85,User1,366920096
keyup,38520626,85,User1,366920096
keydown,38520627,91,User1,366920096
keyup,38520672,91,User1,366920096
keydown,38520990,83,User1,366920096
keydown,38521116,101,User1,366920096
keyup,38521160,83,User1,366920096
keyup,38521225,101,User1,366920096
keydown,38521226,0,User1,366920096
keyup,38521308,0,User1,366920096
keydown,38521440,98,User1,366920096
keydown,38521591,97,User1,366920096
keyup,38521635,98,User1,366920096
keyup,38521702,97,User1,366920096
keydown,38521723,100,User1,366920096
keyup,38521834,100,User1,366920096
keydown,38521857,0,User1,366920096
keyup,38521946,0,User1,366920096
keydown,38522078,84,User1,366920096
keyup,38522188,84,User1,366920096
keydown,38522738,38,User1,366920096
keyup,38522852,38,User1,366920096
keydown,38522971,104,User1,366920096
keyup,38523098,104,User1,366920096
keydown,38523415,103,User1,366920096
keyup,38523500,103,User1,366920096
keydown,38523540,87,User1,366920096
keyup,38523649,87,User1,366920096
keydown,38523733,101,User1,366920096
keydown,38523822,102,User1,366920096
keyup,38523865,101,User1,366920096
keyup,38523886,102,User1,366920096
keydown,38523967,100,User1,366920096
keyup,38524055,100,User1,366920096
keydown,38524056,83,User1,366920096
keyup,38524165,83,User1,366920096
keydown,38524206,0,User1,366920096
keydown,38524273,83,User1,366920096
