event,Hora normalizada,key,user,session_id
keydown,51048306,101,User1,366931489
keyup,51048414,101,User1,366931489
keydown,51048435,97,User1,366931489
keydown,51048548,107,User1,366931489
keyup,51048595,97,User1,366931489
keyup,51048639,107,User1,366931489
keydown,51048805,0,User1,366931489
keyup,51048895,0,User1,366931489
keydown,51049455,95,User1,366931489
keyup,51049545,95,User1,366931489
keydown,51049547,83,User1,366931489
keyup,51049655,83,User1,366931489
keydown,51049772,100,User1,366931489
keydown,51049863,91,User1,366931489
keyup,51049885,100,User1,366931489
keyup,51049954,91,User1,366931489
keydown,51050019,96,User1,366931489
keyup,51050109,96,User1,366931489
keydown,51050132,83,User1,366931489
keyup,51050222,83,User1,366931489
keydown,51050244,0,User1,366931489
keyup,51050333,0,User1,366931489
keydown,51050354,86,User1,366931489
keydown,51050443,87,User1,366931489
keyup,51050487,86,User1,366931489
keyup,51050531,87,User1,366931489
keydown,51050622,101,User1,366931489
keyup,51050733,101,User1,366931489
keydown,51050785,86,User1,366931489
keydown,51050878,87,User1,366931489
keyup,51050901,86,User1,366931489
keydown,51050968,0,User1,366931489
keyup,51050989,87,User1,366931489
keyup,51051057,0,User1,366931489
keydown,51051098,87,User1,366931489
keyup,51051210,87,User1,366931489
keydown,51051378,94,User1,366931489
keyup,51051446,94,User1,366931489
keydown,51051565,0,User1,366931489
keyup,51051611,0,User1,366931489
keydown,51051848,71,User1,366931489
keydown,51052004,64,User1,366931489
keyup,51052118,64,User1,366931489
keydown,51052185,39,User1,366931489
keyup,51052299,39,User1,366931489
keyup,51052388,71,User1,366931489
keydown,51052516,0,User1,366931489
keyup,51052606,0,User1,366931489
keydown,51052607,86,User1,366931489
keydown,51052715,87,User1,366931489
keyup,51052739,86,User1,366931489
keyup,51052807,87,User1,366931489
keydown,51052829,0,User1,366931489
keyup,51052921,0,User1,366931489
keydown,51053000,83,User1,366931489
keyup,51053156,83,User1,366931489
keydown,51053178,94,User1,366931489
keyup,51053245,94,User1,366931489
keydown,51053330,87,User1,366931489
keyup,51053422,87,User1,366931489
keydown,51053602,106,User1,366931489
keyup,51053714,106,User1,366931489
keydown,51054582,9,User1,366931489
keyup,51054650,9,User1,366931489
keydown,51054744,0,User1,366931489
keyup,51054880,0,User1,366931489
keydown,51054903,101,User1,366931489
keyup,51055016,101,User1,366931489
keydown,51055038,103,User1,366931489
keyup,51055105,103,User1,366931489
keydown,51055379,98,User1,366931489
keydown,51055493,94,User1,366931489
keyup,51055540,98,User1,366931489
keyup,51055586,94,User1,366931489
keydown,51055668,83,User1,366931489
keyup,51055806,83,User1,366931489
keydown,51056384,96,User1,366931489
keyup,51056476,96,User1,366931489
keydown,51056576,102,User1,366931489
keyup,51056664,102,User1,366931489
keydown,51056803,83,User1,366931489
keydown,51056910,96,User1,366931489
keyup,51056957,83,User1,366931489
keyup,51057004,96,User1,366931489
keydown,51057067,86,User1,366931489
keydown,51057156,97,User1,366931489
keyup,51057181,86,User1,366931489
keyup,51057248,97,User1,366931489
keydown,51057330,0,User1,366931489
keydown,51057399,83,User1,366931489
keyup,51057423,0,User1,366931489
keyup,51057512,83,User1,366931489
keydown,51057513,0,User1,366931489
keyup,51057626,0,User1,366931489
keydown,51057645,83,User1,366931489
keyup,51057756,83,User1,366931489
keydown,51057888,94,User1,366931489
keyup,51057979,94,User1,366931489
keydown,51057980,87,User1,366931489
keyup,51058092,87,User1,366931489
keydown,51058317,106,User1,366931489
