event,Hora normalizada,key,user,session_id
keydown,33629173,101,User3,366913646
keyup,33629282,101,User3,366913646
keydown,33629347,97,User3,366913646
keydown,33629433,107,User3,366913646
keyup,33629499,97,User3,366913646
keyup,33629540,107,User3,366913646
keydown,33629723,0,User3,366913646
keyup,33629831,0,User3,366913646
keydown,33630627,71,User3,366913646
keydown,33630713,59,User3,366913646
keyup,33630798,71,User3,366913646
keydown,33630817,83,User3,366913646
keyup,33630839,95,User3,366913646
keyup,33630861,83,User3,366913646
keydown,33631097,100,User3,366913646
keyup,33631161,100,User3,366913646
keydown,33631216,91,User3,366913646
keyup,33631322,91,User3,366913646
keydown,33631420,96,User3,366913646
keyup,33631504,96,User3,366913646
keydown,33631525,83,User3,366913646
keyup,33631655,83,User3,366913646
keydown,33631677,0,User3,366913646
keyup,33631782,0,User3,366913646
keydown,33631801,86,User3,366913646
keydown,33631887,87,User3,366913646
keyup,33631951,86,User3,366913646
keyup,33631994,87,User3,366913646
keydown,33632092,101,User3,366913646
keyup,33632177,101,User3,366913646
keydown,33632253,86,User3,366913646
keydown,33632316,87,User3,366913646
keyup,33632337,86,User3,366913646
keydown,33632379,0,User3,366913646
keyup,33632423,87,User3,366913646
keyup,33632444,0,User3,366913646
keydown,33632542,95,User3,366913646
keyup,33632586,95,User3,366913646
keydown,33632673,91,User3,366913646
keyup,33632761,91,User3,366913646
keydown,33632880,0,User3,366913646
keyup,33632985,0,User3,366913646
keydown,33633224,71,User3,366913646
keydown,33633401,64,User3,366913646
keyup,33633532,64,User3,366913646
keydown,33633678,39,User3,366913646
keyup,33633766,39,User3,366913646
keyup,33633808,71,User3,366913646
keydown,33634020,0,User3,366913646
keyup,33634084,0,User3,366913646
keydown,33634596,107,User3,366913646
keyup,33634661,107,User3,366913646
keydown,33634777,0,User3,366913646
keyup,33634883,0,User3,366913646
keydown,33634954,90,User3,366913646
keyup,33635039,90,User3,366913646
keydown,33635040,87,User3,366913646
keydown,33635144,0,User3,366913646
keyup,33635166,87,User3,366913646
keyup,33635249,0,User3,366913646
keydown,33635451,87,User3,366913646
keydown,33635558,96,User3,366913646
keyup,33635600,87,User3,366913646
keyup,33635665,96,User3,366913646
keydown,33635744,102,User3,366913646
keyup,33635809,102,User3,366913646
keydown,33635943,100,User3,366913646
keyup,33636050,100,User3,366913646
keydown,33636159,83,User3,366913646
keyup,33636266,83,User3,366913646
keydown,33636374,86,User3,366913646
keydown,33636460,97,User3,366913646
keyup,33636504,86,User3,366913646
keyup,33636526,97,User3,366913646
keydown,33636620,0,User3,366913646
keyup,33636749,0,User3,366913646
keydown,33637269,97,User3,366913646
keydown,33637373,96,User3,366913646
keyup,33637417,97,User3,366913646
keyup,33637461,96,User3,366913646
keydown,33637621,38,User3,366913646
keyup,33637686,38,User3,366913646
keydown,33637731,85,User3,366913646
keyup,33637862,85,User3,366913646
keydown,33637930,97,User3,366913646
keydown,33638100,96,User3,366913646
keyup,33638122,97,User3,366913646
keyup,33638164,96,User3,366913646
keydown,33638293,38,User3,366913646
keyup,33638357,38,User3,366913646
keydown,33638433,38,User3,366913646
keyup,33638518,38,User3,366913646
keydown,33638570,38,User3,366913646
keyup,33638656,38,User3,366913646
keydown,33638719,38,User3,366913646
keyup,33638805,38,User3,366913646
keydown,33638880,85,User3,366913646
keyup,33638985,85,User3,366913646
keydown,33639006,97,User3,366913646
keydown,33639094,96,User3,366913646
keyup,33639139,97,User3,366913646
keyup,33639163,96,User3,366913646
keydown,33639226,0,User3,366913646
keyup,33639332,0,User3,366913646
keydown,33639361,94,User3,366913646
keydown,33639403,83,User3,366913646
keyup,33639466,94,User3,366913646
keydown,33639467,101,User3,366913646
keyup,33639530,83,User3,366913646
keydown,33639552,0,User3,366913646
keyup,33639573,101,User3,366913646
keyup,33639657,0,User3,366913646
keydown,33639658,85,User3,366913646
keyup,33639743,85,User3,366913646
keydown,33639845,100,User3,366913646
keydown,33639931,87,User3,366913646
keyup,33639977,100,User3,366913646
keyup,33640060,87,User3,366913646
keydown,33640223,86,User3,366913646
keydown,33640333,87,User3,366913646
keyup,33640378,86,User3,366913646
keyup,33640461,87,User3,366913646
keydown,33640462,96,User3,366913646
keydown,33640525,85,User3,366913646
keyup,33640569,96,User3,366913646
keydown,33640653,91,User3,366913646
keyup,33640672,85,User3,366913646
keyup,33640737,91,User3,366913646
keydown,33640765,83,User3,366913646
keydown,33640875,94,User3,366913646
keyup,33640897,83,User3,366913646
keyup,33640981,94,User3,366913646
keydown,33641002,87,User3,366913646
keyup,33641107,87,User3,366913646
keydown,33641160,101,User3,366913646
keyup,33641268,101,User3,366913646
keydown,33641269,0,User3,366913646
keydown,33641351,86,User3,366913646
keyup,33641375,0,User3,366913646
keydown,33641435,87,User3,366913646
keyup,33641478,86,User3,366913646
keyup,33641561,87,User3,366913646
keydown,33641586,0,User3,366913646
keyup,33641670,0,User3,366913646
keydown,33641751,71,User3,366913646
keydown,33641858,39,User3,366913646
keyup,33641881,71,User3,366913646
keyup,33641944,85,User3,366913646
keydown,33642023,83,User3,366913646
keyup,33642150,83,User3,366913646
keydown,33642262,100,User3,366913646
keyup,33642389,100,User3,366913646
keydown,33642390,95,User3,366913646
keyup,33642472,95,User3,366913646
keydown,33642492,87,User3,366913646
keydown,33642576,96,User3,366913646
keyup,33642642,87,User3,366913646
keyup,33642643,96,User3,366913646
keydown,33642718,47,User3,366913646
keyup,33642786,47,User3,366913646
keydown,33647160,107,User3,366913646
keyup,33647265,107,User3,366913646
keydown,33647344,97,User3,366913646
keyup,33647450,97,User3,366913646
keydown,33647556,0,User3,366913646
keyup,33647645,0,User3,366913646
keydown,33647716,95,User3,366913646
keyup,33647803,95,User3,366913646
keydown,33647804,87,User3,366913646
keyup,33647888,87,User3,366913646
keydown,33647889,0,User3,366913646
keyup,33647992,0,User3,366913646
keydown,33648066,86,User3,366913646
keydown,33648194,87,User3,366913646
keyup,33648237,86,User3,366913646
keyup,33648279,87,User3,366913646
keydown,33648332,85,User3,366913646
keyup,33648417,85,User3,366913646
keydown,33648438,94,User3,366913646
keyup,33648505,94,User3,366913646
keydown,33648535,83,User3,366913646
keyup,33648665,83,User3,366913646
keydown,33648786,100,User3,366913646
keydown,33648892,97,User3,366913646
keyup,33648913,100,User3,366913646
keyup,33648978,97,User3,366913646
keydown,33649076,0,User3,366913646
keyup,33649183,0,User3,366913646
keydown,33650630,87,User3,366913646
keyup,33650738,87,User3,366913646
keydown,33650739,96,User3,366913646
keyup,33650802,96,User3,366913646
keydown,33650888,0,User3,366913646
keyup,33650996,0,User3,366913646
keydown,33651084,89,User3,366913646
keyup,33651190,89,User3,366913646
keydown,33651424,38,User3,366913646
keyup,33651489,38,User3,366913646
keydown,33651565,90,User3,366913646
keyup,33651694,90,User3,366913646
keydown,33651695,103,User3,366913646
keyup,33651757,103,User3,366913646
keydown,33651856,87,User3,366913646
keydown,33651945,94,User3,366913646
keyup,33651987,87,User3,366913646
keyup,33652051,94,User3,366913646
keydown,33652196,89,User3,366913646
keyup,33652279,89,User3,366913646
keydown,33652300,83,User3,366913646
keydown,33652406,0,User3,366913646
keyup,33652427,83,User3,366913646
keyup,33652512,0,User3,366913646
keydown,33652513,86,User3,366913646
keydown,33652596,87,User3,366913646
keyup,33652640,86,User3,366913646
keyup,33652726,87,User3,366913646
keydown,33652769,0,User3,366913646
keyup,33652876,0,User3,366913646
keydown,33652877,83,User3,366913646
keyup,33652982,83,User3,366913646
keydown,33653002,84,User3,366913646
keyup,33653087,84,User3,366913646
keydown,33653130,100,User3,366913646
keyup,33653261,100,User3,366913646
keydown,33653434,38,User3,366913646
keydown,33653934,38,User3,366913646
keydown,33653965,38,User3,366913646
keydown,33653994,38,User3,366913646
keydown,33654025,38,User3,366913646
keydown,33654055,38,User3,366913646
keydown,33654086,38,User3,366913646
keydown,33654117,38,User3,366913646
keydown,33654148,38,User3,366913646
keydown,33654178,38,User3,366913646
keydown,33654208,38,User3,366913646
keydown,33654239,38,User3,366913646
keydown,33654270,38,User3,366913646
keydown,33654299,38,User3,366913646
keydown,33654329,38,User3,366913646
keydown,33654359,38,User3,366913646
keydown,33654389,38,User3,366913646
keydown,33654420,38,User3,366913646
keydown,33654450,38,User3,366913646
keydown,33654480,38,User3,366913646
keydown,33654510,38,User3,366913646
keydown,33654539,38,User3,366913646
keydown,33654570,38,User3,366913646
keydown,33654600,38,User3,366913646
keydown,33654630,38,User3,366913646
keydown,33654661,38,User3,366913646
keydown,33654691,38,User3,366913646
keydown,33654721,38,User3,366913646
keydown,33654751,38,User3,366913646
keydown,33654782,38,User3,366913646
keydown,33654812,38,User3,366913646
keydown,33654841,38,User3,366913646
keydown,33654872,38,User3,366913646
keydown,33654902,38,User3,366913646
keydown,33654933,38,User3,366913646
keydown,33654964,38,User3,366913646
keydown,33654993,38,User3,366913646
keyup,33655006,38,User3,366913646
keydown,33655057,83,User3,366913646
keyup,33655187,83,User3,366913646
keydown,33655226,90,User3,366913646
keydown,33655331,97,User3,366913646
keyup,33655375,90,User3,366913646
keydown,33655437,100,User3,366913646
keyup,33655458,97,User3,366913646
keyup,33655480,100,User3,366913646
keydown,33655590,83,User3,366913646
keydown,33655678,0,User3,366913646
keyup,33655699,83,User3,366913646
keyup,33655740,0,User3,366913646
keydown,33655816,95,User3,366913646
keyup,33655902,95,User3,366913646
keydown,33655990,91,User3,366913646
keyup,33656056,91,User3,366913646
keydown,33656115,101,User3,366913646
keydown,33656201,95,User3,366913646
keyup,33656223,101,User3,366913646
keydown,33656305,97,User3,366913646
keyup,33656349,95,User3,366913646
keyup,33656413,97,User3,366913646
keydown,33656459,0,User3,366913646
keyup,33656586,0,User3,366913646
keydown,33656587,87,User3,366913646
keyup,33656674,87,User3,366913646
keydown,33656788,101,User3,366913646
keydown,33656830,102,User3,366913646
keyup,33656851,101,User3,366913646
keyup,33656917,102,User3,366913646
keydown,33657018,97,User3,366913646
keydown,33657142,107,User3,366913646
keyup,33657187,97,User3,366913646
keyup,33657228,107,User3,366913646
keydown,33657332,0,User3,366913646
keyup,33657439,0,User3,366913646
keydown,33657460,87,User3,366913646
keydown,33657525,96,User3,366913646
keyup,33657589,87,User3,366913646
keyup,33657590,96,User3,366913646
keydown,33657680,0,User3,366913646
keyup,33657743,0,User3,366913646
keydown,33657763,87,User3,366913646
keydown,33657827,94,User3,366913646
keyup,33657849,87,User3,366913646
keyup,33657911,94,User3,366913646
keydown,33657931,0,User3,366913646
keyup,33658015,0,User3,366913646
keydown,33658084,84,User3,366913646
keyup,33658191,84,User3,366913646
keydown,33658192,83,User3,366913646
keyup,33658316,83,User3,366913646
keydown,33658317,121,User3,366913646
keydown,33658462,91,User3,366913646
keyup,33658527,121,User3,366913646
keyup,33658591,91,User3,366913646
keydown,33658897,0,User3,366913646
keyup,33659002,0,User3,366913646
keydown,33659148,38,User3,366913646
keyup,33659215,38,User3,366913646
keydown,33659268,38,User3,366913646
keyup,33659333,38,User3,366913646
keydown,33659427,97,User3,366913646
keyup,33659512,97,User3,366913646
keydown,33659925,0,User3,366913646
keyup,33660030,0,User3,366913646
keydown,33660176,98,User3,366913646
keyup,33660304,98,User3,366913646
keydown,33660326,87,User3,366913646
keyup,33660432,87,User3,366913646
keydown,33660516,100,User3,366913646
keydown,33660603,97,User3,366913646
keyup,33660625,100,User3,366913646
keyup,33660687,97,User3,366913646
keydown,33660819,0,User3,366913646
keyup,33660883,0,User3,366913646
keydown,33663609,98,User3,366913646
keydown,33663736,103,User3,366913646
keyup,33663758,98,User3,366913646
keydown,33663799,87,User3,366913646
keyup,33663821,103,User3,366913646
keyup,33663864,87,User3,366913646
keydown,33663951,86,User3,366913646
keydown,33664039,87,User3,366913646
keyup,33664061,86,User3,366913646
keyup,33664128,87,User3,366913646
keydown,33664355,101,User3,366913646
keyup,33664486,101,User3,366913646
keydown,33664487,0,User3,366913646
keyup,33664572,0,User3,366913646
keydown,33664669,104,User3,366913646
keydown,33664735,87,User3,366913646
keyup,33664778,104,User3,366913646
keyup,33664862,87,User3,366913646
keydown,33664883,96,User3,366913646
keydown,33664987,91,User3,366913646
keyup,33665010,96,User3,366913646
keyup,33665074,91,User3,366913646
keydown,33665075,100,User3,366913646
keyup,33665178,100,User3,366913646
keydown,33665497,0,User3,366913646
keyup,33665603,0,User3,366913646
keydown,33665634,101,User3,366913646
keydown,33665743,91,User3,366913646
keyup,33665766,101,User3,366913646
keyup,33665809,91,User3,366913646
keydown,33665896,0,User3,366913646
keydown,33665916,99,User3,366913646
keyup,33665962,99,User3,366913646
keyup,33666003,0,User3,366913646
keydown,33666099,99,User3,366913646
keydown,33666142,103,User3,366913646
keyup,33666163,99,User3,366913646
keyup,33666247,103,User3,366913646
keydown,33666454,38,User3,366913646
keyup,33666516,38,User3,366913646
keydown,33666574,38,User3,366913646
keyup,33666661,38,User3,366913646
keydown,33666831,103,User3,366913646
keydown,33666937,91,User3,366913646
keyup,33666958,103,User3,366913646
keydown,33667020,87,User3,366913646
keyup,33667043,91,User3,366913646
keyup,33667107,87,User3,366913646
keydown,33667169,100,User3,366913646
keydown,33667253,87,User3,366913646
keyup,33667296,100,User3,366913646
keyup,33667359,87,User3,366913646
keydown,33667433,101,User3,366913646
keyup,33667560,101,User3,366913646
keydown,33667582,0,User3,366913646
keyup,33667688,0,User3,366913646
keydown,33667763,99,User3,366913646
keydown,33667867,0,User3,366913646
