event,Hora normalizada,key,user,session_id
keydown,34614438,71,User6,366914961
keydown,34614554,70,User6,366914961
keyup,34614628,71,User6,366914961
keyup,34614630,101,User6,366914961
keydown,34614707,97,User6,366914961
keydown,34614825,107,User6,366914961
keyup,34614848,97,User6,366914961
keyup,34614894,107,User6,366914961
keydown,34614956,0,User6,366914961
keydown,34615072,83,User6,366914961
keyup,34615098,0,User6,366914961
keyup,34615190,83,User6,366914961
keydown,34615191,94,User6,366914961
keyup,34615303,94,User6,366914961
keydown,34615325,87,User6,366914961
keyup,34615372,87,User6,366914961
keydown,34615490,106,User6,366914961
keyup,34615648,106,User6,366914961
keydown,34616024,0,User6,366914961
keyup,34616135,0,User6,366914961
keydown,34616164,87,User6,366914961
keyup,34616252,87,User6,366914961
keydown,34616254,96,User6,366914961
keydown,34616296,0,User6,366914961
keyup,34616343,96,User6,366914961
keyup,34616408,0,User6,366914961
keydown,34616430,94,User6,366914961
keydown,34616474,83,User6,366914961
keyup,34616520,94,User6,366914961
keyup,34616567,83,User6,366914961
keydown,34616569,0,User6,366914961
keyup,34616615,0,User6,366914961
keydown,34616706,85,User6,366914961
keydown,34616752,103,User6,366914961
keyup,34616797,85,User6,366914961
keyup,34616843,103,User6,366914961
keydown,34616877,87,User6,366914961
keydown,34616946,96,User6,366914961
keyup,34616969,87,User6,366914961
keydown,34616991,102,User6,366914961
keyup,34617039,96,User6,366914961
keyup,34617085,102,User6,366914961
keydown,34617087,83,User6,366914961
keyup,34617154,83,User6,366914961
keydown,34617155,0,User6,366914961
keyup,34617243,0,User6,366914961
keydown,34617288,86,User6,366914961
keydown,34617357,87,User6,366914961
keyup,34617380,86,User6,366914961
keydown,34617382,0,User6,366914961
keyup,34617425,87,User6,366914961
keyup,34617448,0,User6,366914961
keydown,34617522,95,User6,366914961
keydown,34617614,83,User6,366914961
keyup,34617638,95,User6,366914961
keyup,34617707,83,User6,366914961
keydown,34617708,100,User6,366914961
keydown,34617727,91,User6,366914961
keyup,34617796,100,User6,366914961
keydown,34617840,96,User6,366914961
keyup,34617862,91,User6,366914961
keydown,34617909,83,User6,366914961
keyup,34617953,96,User6,366914961
keydown,34617954,0,User6,366914961
keyup,34617973,83,User6,366914961
keyup,34618066,0,User6,366914961
keydown,34618067,86,User6,366914961
keydown,34618131,87,User6,366914961
keyup,34618153,86,User6,366914961
keyup,34618199,87,User6,366914961
keydown,34618269,101,User6,366914961
keyup,34618361,101,User6,366914961
keydown,34618383,86,User6,366914961
keydown,34618427,87,User6,366914961
keyup,34618473,86,User6,366914961
keydown,34618494,0,User6,366914961
