event,Hora normalizada,key,user,session_id
keydown,48241707,90,User8,366777995
keyup,48241765,90,User8,366777995
keydown,48241902,97,User8,366777995
keyup,48241967,97,User8,366777995
keydown,48242075,94,User8,366777995
keyup,48242126,94,User8,366777995
keydown,48242141,83,User8,366777995
keyup,48242206,83,User8,366777995
keydown,48242270,0,User8,366777995
keyup,48242318,0,User8,366777995
keydown,48242366,89,User8,366777995
keyup,48242446,89,User8,366777995
keydown,48242477,103,User8,366777995
keyup,48242542,103,User8,366777995
keydown,48242605,83,User8,366777995
keyup,48242718,83,User8,366777995
keydown,48242893,98,User8,366777995
keyup,48242957,98,User8,366777995
keydown,48243086,91,User8,366777995
keyup,48243148,91,User8,366777995
keydown,48243168,101,User8,366777995
keyup,48243246,101,User8,366777995
keydown,48243390,47,User8,366777995
keyup,48243439,47,User8,366777995
keydown,48245595,107,User8,366777995
keyup,48245649,107,User8,366777995
keydown,48245759,83,User8,366777995
keyup,48245840,83,User8,366777995
keydown,48245887,0,User8,366777995
keyup,48245953,0,User8,366777995
keydown,48246475,87,User8,366777995
keyup,48246522,87,User8,366777995
keydown,48246621,101,User8,366777995
keyup,48246686,101,User8,366777995
keydown,48246830,102,User8,366777995
keydown,48246880,97,User8,366777995
keyup,48246894,102,User8,366777995
keyup,48246941,97,User8,366777995
keydown,48246989,107,User8,366777995
keyup,48247054,107,User8,366777995
keydown,48247101,0,User8,366777995
keyup,48247183,0,User8,366777995
keydown,48247246,106,User8,366777995
keyup,48247311,106,User8,366777995
keydown,48247337,0,User8,366777995
keyup,48247422,0,User8,366777995
keydown,48247437,87,User8,366777995
keyup,48247533,87,User8,366777995
keydown,48247565,94,User8,366777995
keyup,48247615,94,User8,366777995
keydown,48247742,0,User8,366777995
keyup,48247792,0,User8,366777995
keydown,48247902,95,User8,366777995
keyup,48247951,95,User8,366777995
keydown,48248094,103,User8,366777995
keyup,48248141,103,User8,366777995
keydown,48248269,96,User8,366777995
keyup,48248335,96,User8,366777995
keydown,48248365,86,User8,366777995
keyup,48248446,86,User8,366777995
keydown,48248477,97,User8,366777995
keyup,48248560,97,User8,366777995
keydown,48248637,47,User8,366777995
keyup,48248698,47,User8,366777995
keydown,48249322,93,User8,366777995
keyup,48249371,93,User8,366777995
keydown,48249535,0,User8,366777995
keyup,48249584,0,User8,366777995
keydown,48249711,95,User8,366777995
keyup,48249756,95,User8,366777995
keydown,48249887,0,User8,366777995
keyup,48249950,0,User8,366777995
keydown,48249982,85,User8,366777995
keyup,48250046,85,User8,366777995
keydown,48250109,97,User8,366777995
keyup,48250143,97,User8,366777995
keydown,48250286,96,User8,366777995
keydown,48250334,102,User8,366777995
keyup,48250350,96,User8,366777995
keyup,48250382,102,User8,366777995
keydown,48250573,83,User8,366777995
keyup,48250633,83,User8,366777995
keydown,48250667,91,User8,366777995
keyup,48250719,91,User8,366777995
keydown,48250782,101,User8,366777995
keyup,48250847,101,User8,366777995
keydown,48250958,47,User8,366777995
keyup,48251017,47,User8,366777995
keydown,48251098,83,User8,366777995
