event,Hora normalizada,key,user,session_id
keydown,33432559,71,User8,366913373
keydown,33432952,70,User8,366913373
keyup,33433046,70,User8,366913373
keyup,33433080,71,User8,366913373
keydown,33433165,97,User8,366913373
keyup,33433234,97,User8,366913373
keydown,33433305,107,User8,366913373
keyup,33433396,107,User8,366913373
keydown,33433419,0,User8,366913373
keyup,33433511,0,User8,366913373
keydown,33433575,71,User8,366913373
keydown,33433655,56,User8,366913373
keyup,33433732,71,User8,366913373
keyup,33433750,92,User8,366913373
keydown,33433791,97,User8,366913373
keyup,33433897,97,User8,366913373
keydown,33433912,100,User8,366913373
keyup,33433973,100,User8,366913373
keydown,33434073,89,User8,366913373
keydown,33434134,87,User8,366913373
keyup,33434162,89,User8,366913373
keyup,33434238,87,User8,366913373
keydown,33436004,0,User8,366913373
keyup,33436072,0,User8,366913373
keydown,33436088,86,User8,366913373
keydown,33436131,87,User8,366913373
keyup,33436180,86,User8,366913373
keyup,33436234,87,User8,366913373
keydown,33436324,101,User8,366913373
keyup,33436416,101,User8,366913373
keydown,33436595,86,User8,366913373
keydown,33436667,87,User8,366913373
keyup,33436697,86,User8,366913373
keyup,33436778,87,User8,366913373
keydown,33437023,0,User8,366913373
keyup,33437103,0,User8,366913373
keydown,33437233,95,User8,366913373
keydown,33437319,91,User8,366913373
keyup,33437340,95,User8,366913373
keyup,33437413,91,User8,366913373
keydown,33437530,0,User8,366913373
keyup,33437636,0,User8,366913373
keydown,33437976,71,User8,366913373
keydown,33438089,64,User8,366913373
keyup,33438151,64,User8,366913373
keydown,33438212,39,User8,366913373
keyup,33438290,39,User8,366913373
keyup,33438391,71,User8,366913373
keydown,33438523,0,User8,366913373
keyup,33438604,0,User8,366913373
keydown,33438638,107,User8,366913373
keyup,33438721,107,User8,366913373
keydown,33438736,0,User8,366913373
keyup,33438818,0,User8,366913373
keydown,33438915,90,User8,366913373
keyup,33438991,90,User8,366913373
keydown,33439004,87,User8,366913373
keyup,33439088,87,User8,366913373
keydown,33439155,0,User8,366913373
keyup,33439246,0,User8,366913373
keydown,33440299,87,User8,366913373
keyup,33440386,87,User8,366913373
keydown,33440406,96,User8,366913373
keyup,33440491,96,User8,366913373
keydown,33440576,102,User8,366913373
keydown,33440641,100,User8,366913373
keyup,33440678,102,User8,366913373
keyup,33440725,100,User8,366913373
keydown,33440847,83,User8,366913373
keyup,33440948,83,User8,366913373
keydown,33441017,86,User8,366913373
keyup,33441096,86,User8,366913373
keydown,33441109,97,User8,366913373
keyup,33441148,97,User8,366913373
keydown,33441233,0,User8,366913373
keyup,33441320,0,User8,366913373
keydown,33441333,85,User8,366913373
keyup,33441396,85,User8,366913373
keydown,33441409,97,User8,366913373
keyup,33441485,97,User8,366913373
keydown,33441519,96,User8,366913373
keyup,33441596,96,User8,366913373
keydown,33441681,0,User8,366913373
keyup,33441811,0,User8,366913373
keydown,33441861,94,User8,366913373
keydown,33441917,83,User8,366913373
keyup,33441967,94,User8,366913373
keydown,33441986,101,User8,366913373
keyup,33442058,83,User8,366913373
keyup,33442084,101,User8,366913373
keydown,33442120,0,User8,366913373
keyup,33442208,0,User8,366913373
keydown,33442223,85,User8,366913373
keyup,33442287,85,User8,366913373
keydown,33442358,100,User8,366913373
keyup,33442464,100,User8,366913373
keydown,33442558,87,User8,366913373
keyup,33442661,87,User8,366913373
keydown,33442739,86,User8,366913373
keydown,33442830,87,User8,366913373
keyup,33442858,86,User8,366913373
keydown,33442915,96,User8,366913373
keyup,33442938,87,User8,366913373
keyup,33443003,96,User8,366913373
keydown,33443040,85,User8,366913373
keyup,33443128,85,User8,366913373
keydown,33443142,91,User8,366913373
keyup,33443208,91,User8,366913373
keydown,33443223,83,User8,366913373
keyup,33443292,83,User8,366913373
keydown,33443344,94,User8,366913373
keyup,33443433,94,User8,366913373
keydown,33443448,87,User8,366913373
keyup,33443505,87,User8,366913373
keydown,33443592,101,User8,366913373
keydown,33443639,0,User8,366913373
keyup,33443680,101,User8,366913373
keyup,33443738,0,User8,366913373
keydown,33443779,86,User8,366913373
keydown,33443850,87,User8,366913373
keyup,33443876,86,User8,366913373
keyup,33443925,87,User8,366913373
keydown,33443939,0,User8,366913373
keyup,33444016,0,User8,366913373
keydown,33444050,71,User8,366913373
keydown,33444256,30,User8,366913373
keyup,33444387,30,User8,366913373
keyup,33444407,71,User8,366913373
keydown,33444597,94,User8,366913373
keydown,33444644,84,User8,366913373
keyup,33444678,94,User8,366913373
keyup,33444737,84,User8,366913373
keydown,33444802,87,User8,366913373
keydown,33444879,100,User8,366913373
keyup,33444934,87,User8,366913373
keyup,33444953,100,User8,366913373
keydown,33445029,102,User8,366913373
keydown,33445090,97,User8,366913373
keyup,33445111,102,User8,366913373
keyup,33445127,97,User8,366913373
keydown,33446058,31,User8,366913373
keydown,33448677,47,User8,366913373
keyup,33448759,47,User8,366913373
keydown,33467706,71,User8,366913373
keydown,33468146,30,User8,366913373
keyup,33468239,71,User8,366913373
keyup,33468256,83,User8,366913373
keydown,33468345,94,User8,366913373
keyup,33468424,94,User8,366913373
keydown,33468436,89,User8,366913373
keyup,33468512,89,User8,366913373
keydown,33468546,103,User8,366913373
keyup,33468612,103,User8,366913373
keydown,33468686,91,User8,366913373
keyup,33468778,91,User8,366913373
keydown,33468793,87,User8,366913373
keyup,33468874,87,User8,366913373
keydown,33468887,96,User8,366913373
keyup,33468943,96,User8,366913373
keydown,33469022,0,User8,366913373
keydown,33469084,101,User8,366913373
keyup,33469110,0,User8,366913373
keyup,33469154,101,User8,366913373
keydown,33469213,87,User8,366913373
keydown,33469276,0,User8,366913373
keyup,33469302,87,User8,366913373
keyup,33469369,0,User8,366913373
keydown,33469399,104,User8,366913373
keydown,33469481,91,User8,366913373
keyup,33469502,104,User8,366913373
keyup,33469550,91,User8,366913373
keydown,33469564,87,User8,366913373
keydown,33469637,96,User8,366913373
keyup,33469657,87,User8,366913373
keyup,33469716,96,User8,366913373
keydown,33469730,87,User8,366913373
keyup,33469798,87,User8,366913373
keydown,33469811,0,User8,366913373
keydown,33469883,83,User8,366913373
keyup,33469905,0,User8,366913373
keyup,33469972,83,User8,366913373
keydown,33469986,0,User8,366913373
keydown,33470074,85,User8,366913373
keyup,33470093,0,User8,366913373
keydown,33470138,83,User8,366913373
keyup,33470166,85,User8,366913373
keyup,33470216,83,User8,366913373
keydown,33470353,108,User8,366913373
keydown,33470429,83,User8,366913373
keyup,33470510,108,User8,366913373
keyup,33470594,83,User8,366913373
keydown,33470669,100,User8,366913373
keyup,33470763,100,User8,366913373
keydown,33470775,0,User8,366913373
keyup,33470836,0,User8,366913373
keydown,33470886,103,User8,366913373
keydown,33470961,96,User8,366913373
keyup,33471004,103,User8,366913373
keydown,33471056,83,User8,366913373
keyup,33471078,96,User8,366913373
keydown,33471212,101,User8,366913373
keyup,33471244,83,User8,366913373
keyup,33471311,101,User8,366913373
keydown,33471404,0,User8,366913373
keyup,33471502,0,User8,366913373
keydown,33471630,43,User8,366913373
keyup,33471724,43,User8,366913373
keydown,33471736,83,User8,366913373
keyup,33471815,83,User8,366913373
keydown,33471829,89,User8,366913373
keyup,33471951,89,User8,366913373
keydown,33471965,103,User8,366913373
keyup,33472046,103,User8,366913373
keydown,33472147,91,User8,366913373
keyup,33472237,91,User8,366913373
keydown,33472519,94,User8,366913373
keyup,33472586,94,User8,366913373
keydown,33472598,83,User8,366913373
keydown,33472650,101,User8,366913373
keyup,33472716,83,User8,366913373
keyup,33472744,101,User8,366913373
keydown,33472834,71,User8,366913373
keydown,33472910,28,User8,366913373
keyup,33472971,28,User8,366913373
keydown,33473045,28,User8,366913373
keyup,33473121,28,User8,366913373
keydown,33473362,28,User8,366913373
keyup,33473414,28,User8,366913373
keyup,33473629,71,User8,366913373
keydown,33473868,47,User8,366913373
keyup,33473945,47,User8,366913373
keydown,33479684,71,User8,366913373
keyup,33480618,71,User8,366913373
keydown,33485002,71,User8,366913373
keyup,33486036,71,User8,366913373
keydown,33522683,71,User8,366913373
keydown,33523034,76,User8,366913373
keyup,33523109,71,User8,366913373
keyup,33523128,104,User8,366913373
keydown,33523189,87,User8,366913373
keyup,33523295,87,User8,366913373
keydown,33523309,96,User8,366913373
keyup,33523376,96,User8,366913373
keydown,33523430,91,User8,366913373
keyup,33523507,91,User8,366913373
keydown,33523531,86,User8,366913373
keyup,33523598,86,User8,366913373
keydown,33523611,0,User8,366913373
keyup,33523698,0,User8,366913373
keydown,33523711,83,User8,366913373
keyup,33523785,83,User8,366913373
keydown,33523797,0,User8,366913373
keyup,33523878,0,User8,366913373
keydown,33523907,86,User8,366913373
keydown,33523998,83,User8,366913373
keyup,33524025,86,User8,366913373
keyup,33524093,83,User8,366913373
keydown,33524132,100,User8,366913373
keyup,33524200,100,User8,366913373
keydown,33524226,95,User8,366913373
keyup,33524300,95,User8,366913373
keydown,33524324,87,User8,366913373
keyup,33524390,87,User8,366913373
keydown,33524430,0,User8,366913373
keyup,33524505,0,User8,366913373
keydown,33524605,98,User8,366913373
keyup,33524687,98,User8,366913373
keydown,33524720,83,User8,366913373
keyup,33524788,83,User8,366913373
keydown,33524811,94,User8,366913373
keyup,33524897,94,User8,366913373
keydown,33524997,95,User8,366913373
keyup,33525084,95,User8,366913373
keydown,33525096,83,User8,366913373
keydown,33525168,101,User8,366913373
keyup,33525219,83,User8,366913373
keyup,33525263,101,User8,366913373
keydown,33525277,0,User8,366913373
keyup,33525364,0,User8,366913373
keydown,33525463,83,User8,366913373
keydown,33525515,94,User8,366913373
keyup,33525535,83,User8,366913373
keyup,33525578,94,User8,366913373
keydown,33525655,0,User8,366913373
