event,Hora normalizada,key,user,session_id
keyup,49878131,48,User9,366780477
keydown,51719752,107,User9,366780477
keydown,51719840,0,User9,366780477
keyup,51719861,107,User9,366780477
keyup,51719960,0,User9,366780477
keydown,51719977,102,User9,366780477
keydown,51720101,103,User9,366780477
keyup,51720137,102,User9,366780477
keyup,51720210,103,User9,366780477
keydown,51720218,101,User9,366780477
keydown,51720288,0,User9,366780477
keyup,51720311,101,User9,366780477
keyup,51720402,0,User9,366780477
keydown,51720404,99,User9,366780477
keydown,51720497,103,User9,366780477
keyup,51720550,99,User9,366780477
keyup,51720575,103,User9,366780477
keydown,51720576,87,User9,366780477
keyup,51720663,87,User9,366780477
keydown,51720679,92,User9,366780477
keyup,51720763,92,User9,366780477
keydown,51720778,83,User9,366780477
keydown,51720824,101,User9,366780477
keyup,51720880,83,User9,366780477
keyup,51720928,101,User9,366780477
keydown,51720983,47,User9,366780477
keyup,51721065,47,User9,366780477
keydown,51929471,99,User9,366780477
keyup,51929622,99,User9,366780477
keydown,51929670,103,User9,366780477
keydown,51929767,87,User9,366780477
keyup,51929767,103,User9,366780477
keyup,51929822,87,User9,366780477
keydown,51929863,92,User9,366780477
keyup,51929927,92,User9,366780477
keydown,51929943,83,User9,366780477
keyup,51930031,83,User9,366780477
keydown,51931132,47,User9,366780477
keyup,51931169,47,User9,366780477
keydown,52024661,32,User9,366780477
keyup,52024862,32,User9,366780477
keydown,52025044,32,User9,366780477
keydown,52025261,124,User9,366780477
keyup,52025283,124,User9,366780477
keyup,52025582,32,User9,366780477
keydown,52025599,38,User9,366780477
keyup,52025726,38,User9,366780477
keydown,52025752,32,User9,366780477
keydown,52025784,29,User9,366780477
keyup,52025937,29,User9,366780477
keyup,52026018,32,User9,366780477
keydown,52026297,87,User9,366780477
keyup,52026455,87,User9,366780477
keydown,52026456,83,User9,366780477
keyup,52026609,83,User9,366780477
keydown,52027817,47,User9,366780477
keyup,52027895,47,User9,366780477
keydown,52028151,9,User9,366780477
keyup,52028231,9,User9,366780477
keydown,52028255,0,User9,366780477
keyup,52028403,0,User9,366780477
keydown,52028555,38,User9,366780477
keyup,52028614,38,User9,366780477
keydown,52028695,38,User9,366780477
keyup,52028766,38,User9,366780477
keydown,52028863,38,User9,366780477
keyup,52028947,38,User9,366780477
keydown,52029023,9,User9,366780477
keydown,52029064,0,User9,366780477
keyup,52029109,9,User9,366780477
keydown,52029164,101,User9,366780477
keyup,52029188,0,User9,366780477
keyup,52029265,101,User9,366780477
